Time,Thermistor,Potentiometer
0,507,0
0,507,0
0,507,0
0,507,0
0,507,0
1,507,0
1,507,0
1,507,0
1,507,0
1,507,0
2,507,0
2,507,0
2,507,0
2,507,0
2,507,0
3,507,0
3,507,0
3,507,0
3,507,0
3,507,0
4,507,0
4,507,0
4,507,0
4,507,0
4,507,0
5,507,0
5,507,0
5,507,0
5,507,0
5,507,0
6,507,0
6,507,0
6,507,0
6,507,0
6,507,0
7,507,0
7,507,0
7,507,0
7,507,0
7,507,0
8,507,0
8,507,0
8,507,0
8,507,0
8,507,0
9,507,0
9,507,0
9,507,0
9,507,0
9,507,0
10,507,0
10,507,0
10,507,0
10,507,0
10,507,0
11,507,0
11,507,0
11,507,0
11,507,0
11,507,0
12,507,0
12,507,0
12,507,8
12,508,20
12,508,32
13,508,42
13,508,50
13,508,58
13,508,69
13,508,76
14,508,85
14,507,90
14,507,95
14,507,99
14,507,106
15,507,115
15,507,124
15,507,133
15,507,144
15,508,151
16,508,156
16,508,162
16,508,170
16,508,178
16,508,186
17,508,197
17,508,210
17,508,222
17,508,232
17,508,243
18,508,254
18,508,255
18,508,255
18,508,255
18,508,255
19,508,255
19,508,255
19,508,255
19,509,255
19,509,255
20,509,255
20,509,255
20,509,255
20,509,255
20,509,255
21,509,255
21,509,255
21,509,255
21,510,255
21,510,255
22,510,255
22,510,255
22,510,255
22,510,255
22,510,255
23,510,255
23,511,255
23,511,255
23,511,255
23,511,255
24,511,255
24,511,255
24,511,255
24,511,255
24,512,255
25,512,255
25,512,255
25,512,255
25,512,255
25,512,255
26,512,255
26,512,255
26,512,255
26,512,255
26,512,255
27,512,255
27,512,255
27,512,255
27,513,255
27,513,255
28,513,255
28,513,255
28,513,255
28,513,255
28,513,255
29,513,255
29,513,255
29,513,255
29,513,255
29,514,255
30,513,255
30,514,255
30,514,255
30,514,255
30,514,255
31,514,255
31,514,255
31,515,255
31,514,255
31,514,255
32,515,255
32,514,255
32,514,255
32,515,255
32,515,255
33,515,255
33,515,255
33,515,255
33,515,255
34,515,255
34,515,255
34,515,255
34,515,255
34,515,255
35,515,255
35,515,255
35,515,255
35,515,255
35,515,255
36,516,255
36,516,255
36,516,255
36,516,255
36,516,255
37,516,255
37,516,255
37,516,255
37,516,255
37,516,255
38,516,255
38,516,255
38,516,255
38,517,255
38,516,255
39,516,255
39,516,255
39,516,255
39,517,255
39,516,255
40,516,255
40,516,255
40,516,255
40,517,255
40,517,255
41,517,255
41,517,255
41,517,255
41,517,255
41,517,255
42,517,255
42,517,255
42,517,255
42,517,255
42,517,255
43,517,255
43,517,255
43,517,255
43,517,255
43,517,255
44,517,255
44,517,255
44,517,255
44,518,255
44,517,255
45,517,255
45,517,255
45,517,255
45,517,255
45,518,255
46,517,255
46,518,255
46,518,255
46,518,255
46,518,255
47,518,255
47,518,255
47,518,255
47,518,255
47,518,255
48,518,255
48,518,255
48,518,255
48,518,255
48,518,255
49,518,255
49,518,255
49,518,255
49,518,255
49,518,255
50,518,255
50,518,255
50,518,255
50,518,255
50,518,255
51,518,255
51,518,255
51,518,255
51,518,255
51,518,255
52,518,255
52,518,255
52,518,255
52,518,255
52,518,255
53,518,255
53,518,255
53,518,255
53,518,255
53,518,255
54,519,255
54,518,255
54,518,255
54,519,255
54,519,255
55,519,255
55,518,255
55,519,255
55,519,255
55,519,255
56,519,255
56,519,255
56,519,255
56,519,255
56,519,255
57,520,255
57,519,255
57,519,255
57,519,255
57,519,255
58,519,255
58,519,255
58,519,255
58,519,255
58,519,255
59,519,255
59,520,255
59,519,255
59,519,255
59,519,255
60,519,255
60,519,255
60,519,255
60,519,255
60,519,255
61,519,255
61,519,255
61,519,255
61,519,255
61,519,255
62,519,255
62,519,255
62,519,255
62,519,255
62,519,255
63,519,255
63,519,255
63,519,255
63,519,255
63,519,255
64,519,255
64,519,255
64,519,255
64,519,255
64,519,255
65,519,255
65,519,255
65,519,255
65,519,255
66,519,255
66,519,255
66,519,255
66,519,255
66,519,255
67,519,255
67,520,255
67,519,255
67,520,255
67,519,255
68,519,255
68,519,255
68,519,255
68,520,255
68,519,255
69,519,255
69,519,255
69,519,255
69,520,255
69,520,255
70,520,255
70,520,255
70,520,255
70,519,255
70,520,255
71,520,255
71,520,255
